county,total,poverty
Alamance,158887,25621
Alexander,35794,4870
Alleghany,10896,2552
Anson,23092,4499
Ashe,26520,4317
Avery,14059,2123
Beaufort,46640,8689
Bertie,18058,4181
Bladen,32918,8008
Brunswick,130834,15402
Buncombe,250342,30542
Burke,87290,15784
Cabarrus,204739,20920
Caldwell,80666,12196
Camden,10551,969
Carteret,67723,7238
Caswell,21717,3928
Catawba,154803,20460
Chatham,70584,7169
Cherokee,27571,4593
Chowan,13811,2207
Clay,10921,1513
Cleveland,95255,19391
Columbus,52992,12101
Craven,97063,14773
Cumberland,316519,58132
Currituck,26187,2479
Dare,35970,3230
Davidson,162926,25091
Davie,41952,5835
Duplin,58374,12375
Durham,298040,45221
Edgecombe,51905,12317
Forsyth,364462,61366
Franklin,64746,8523
Gaston,215978,31210
Gates,11477,1548
Graham,8375,1428
Granville,56252,8031
Greene,18614,4255
Guilford,509531,80528
Halifax,49855,12864
Harnett,128703,20331
Haywood,60256,8087
Henderson,113463,12408
Hertford,21826,4786
Hoke,52105,10605
Hyde,4624,1125
Iredell,173761,18982
Jackson,39019,7296
Johnston,194905,24414
Jones,9536,2333
Lee,59433,9565
Lenoir,55386,12836
Lincoln,82082,9916
McDowell,44137,7402
Macon,34514,5323
Madison,20421,3342
Martin,22599,4463
Mecklenburg,1058840,122537
Mitchell,14559,1886
Montgomery,26114,4621
Moore,95974,10878
Nash,92009,13944
New Hanover,221075,35410
Northampton,19065,3941
Onslow,174605,23065
Orange,133298,18266
Pamlico,11977,1509
Pasquotank,36935,5800
Pender,58999,8334
Perquimans,13267,2008
Person,38792,6237
Pitt,171321,39314
Polk,20256,1992
Randolph,141274,21457
Richmond,43457,10935
Robeson,128917,35706
Rockingham,89643,16267
Rowan,135980,21660
Rutherford,65312,11712
Sampson,62511,13059
Scotland,32639,8897
Stanly,59571,7659
Stokes,45243,6229
Surry,70930,11651
Swain,14063,2455
Transylvania,32699,4679
Tyrrell,3329,749
Union,227980,18784
Vance,43836,9138
Wake,1046544,95198
Warren,18957,3751
Washington,11727,2612
Watauga,48976,12415
Wayne,120420,24383
Wilkes,67437,11929
Wilson,79833,16217
Yadkin,37260,5731
Yancey,17608,2883
